bin,count
0,286
1,278
2,225
3,282
4,298
5,257
6,251
7,265
8,296
9,292
10,286
11,284
12,301
13,260
14,271
15,281
16,275
17,283
18,286
19,281
20,279
21,278
22,299
23,266
24,304
25,470
26,290
27,299
28,311
29,315
30,272
31,257
32,326
33,275
34,282
35,297
36,262
37,290
38,309
39,243
40,428
41,282
42,303
43,275
44,259
45,287
46,431
47,312
48,254
49,254
50,268
51,283
52,291
53,291
54,270
55,293
56,276
57,442
58,307
59,277
60,269
61,294
62,233
63,293
64,281
65,259
66,276
67,295
68,276
69,263
70,266
71,268
72,290
73,262
74,294
75,301
76,289
77,270
78,283
79,281
80,311
81,277
82,281
83,290
84,268
85,292
86,305
87,299
88,249
89,460
90,273
91,299
92,255
93,262
94,474
95,301
96,278
97,468
98,272
99,304
100,287
101,274
102,318
103,273
104,291
105,442
106,308
107,285
108,281
109,313
110,283
111,275
112,471
113,277
114,283
115,262
116,247
117,292
118,288
119,304
120,317
121,290
122,272
123,285
124,270
125,311
126,287
127,268
128,305
129,278
130,419
131,275
132,300
133,295
134,286
135,287
136,301
137,312
138,276
139,269
140,292
141,254
142,281
143,242
144,282
145,310
146,273
147,302
148,265
149,268
150,269
151,268
152,270
153,271
154,310
155,298
156,267
157,303
158,270
159,251
160,260
161,257
162,300
163,283
164,284
165,275
166,446
167,255
168,299
169,288
170,268
171,296
172,298
173,264
174,297
175,288
176,296
177,328
178,308
179,298
180,297
181,280
182,265
183,309
184,306
185,318
186,272
187,291
188,247
189,245
190,279
191,257
192,300
193,280
194,302
195,266
196,295
197,253
198,262
199,495
200,265
201,245
202,440
203,277
204,275
205,284
206,278
207,278
208,295
209,258
210,261
211,278
212,303
213,294
214,297
215,291
216,288
217,288
218,324
219,307
220,291
221,264
222,301
223,275
224,281
225,286
226,260
227,439
228,290
229,282
230,254
231,286
232,278
233,306
234,286
235,254
236,309
237,250
238,268
239,310
240,286
241,295
242,276
243,287
244,247
245,287
246,287
247,297
248,453
249,469
250,325
251,288
252,336
253,295
254,298
255,260
256,295
257,264
258,274
259,270
260,280
261,301
262,271
263,276
264,451
265,282
266,296
267,246
268,297
269,233
270,448
271,269
272,299
273,287
274,302
275,279
276,279
277,273
