variant,stream_id,step,processed,true_unique,estimate
standard,0,1,10000,9731,9726.38
improved,0,1,10000,9731,9860.91
standard,0,2,20000,19371,19511.3
improved,0,2,20000,19371,19693.3
standard,0,3,30000,28962,29080.5
improved,0,3,30000,28962,29234.6
standard,0,4,40000,38523,38320.2
improved,0,4,40000,38523,38922.2
standard,0,5,50000,48076,48164.1
improved,0,5,50000,48076,48660.1
standard,0,6,60000,57580,57811.3
improved,0,6,60000,57580,57813.1
standard,0,7,70000,67110,67182.2
improved,0,7,70000,67110,67312.8
standard,0,8,80000,76587,76328
improved,0,8,80000,76587,76433.2
standard,0,9,90000,86087,86024.2
improved,0,9,90000,86087,86171.9
standard,0,10,100000,95593,95373
improved,0,10,100000,95593,95548.9
standard,0,11,110000,105089,104812
improved,0,11,110000,105089,104740
standard,0,12,120000,114553,113880
improved,0,12,120000,114553,113667
standard,0,13,130000,124000,123667
improved,0,13,130000,124000,123375
standard,0,14,140000,133418,133850
improved,0,14,140000,133418,132791
standard,0,15,150000,142843,142598
improved,0,15,150000,142843,142596
standard,0,16,160000,152228,152223
improved,0,16,160000,152228,151812
standard,0,17,170000,161585,160676
improved,0,17,170000,161585,161246
standard,0,18,180000,170963,170339
improved,0,18,180000,170963,170512
standard,0,19,190000,180409,180161
improved,0,19,190000,180409,180465
standard,0,20,200000,189775,189248
improved,0,20,200000,189775,190042
standard,1,1,10000,9713,9777.15
improved,1,1,10000,9713,9661.33
standard,1,2,20000,19336,19564
improved,1,2,20000,19336,19360.7
standard,1,3,30000,28932,29169.3
improved,1,3,30000,28932,28759.2
standard,1,4,40000,38499,38761.6
improved,1,4,40000,38499,38382.6
standard,1,5,50000,48070,49077.2
improved,1,5,50000,48070,48712.8
standard,1,6,60000,57625,58648.4
improved,1,6,60000,57625,57712.6
standard,1,7,70000,67144,68061
improved,1,7,70000,67144,67285.5
standard,1,8,80000,76624,77398.3
improved,1,8,80000,76624,77043
standard,1,9,90000,86111,86839.1
improved,1,9,90000,86111,86114.1
standard,1,10,100000,95594,96586.3
improved,1,10,100000,95594,95649
standard,1,11,110000,105026,106246
improved,1,11,110000,105026,104935
standard,1,12,120000,114471,115656
improved,1,12,120000,114471,113748
standard,1,13,130000,123908,125223
improved,1,13,130000,123908,123393
standard,1,14,140000,133324,134408
improved,1,14,140000,133324,132976
standard,1,15,150000,142700,143922
improved,1,15,150000,142700,141373
standard,1,16,160000,152097,153514
improved,1,16,160000,152097,151289
standard,1,17,170000,161543,163096
improved,1,17,170000,161543,160578
standard,1,18,180000,170924,172167
improved,1,18,180000,170924,169594
standard,1,19,190000,180295,181236
improved,1,19,190000,180295,179087
standard,1,20,200000,189666,190052
improved,1,20,200000,189666,188395
standard,2,1,10000,9718,9726.38
improved,2,1,10000,9718,9715.52
standard,2,2,20000,19327,19354.1
improved,2,2,20000,19327,19328.1
standard,2,3,30000,28953,28933.7
improved,2,3,30000,28953,28672.6
standard,2,4,40000,38511,38804.3
improved,2,4,40000,38511,38507.9
standard,2,5,50000,48114,48589
improved,2,5,50000,48114,48685.9
standard,2,6,60000,57690,58021
improved,2,6,60000,57690,57852.3
standard,2,7,70000,67209,67608.7
improved,2,7,70000,67209,66937.1
standard,2,8,80000,76712,77192.7
improved,2,8,80000,76712,76554.1
standard,2,9,90000,86184,86503.2
improved,2,9,90000,86184,85905.9
standard,2,10,100000,95626,96184.6
improved,2,10,100000,95626,95094.4
standard,2,11,110000,105069,105528
improved,2,11,110000,105069,104244
standard,2,12,120000,114566,114456
improved,2,12,120000,114566,113578
standard,2,13,130000,124020,123661
improved,2,13,130000,124020,123630
standard,2,14,140000,133479,133740
improved,2,14,140000,133479,132969
standard,2,15,150000,142930,142969
improved,2,15,150000,142930,142788
standard,2,16,160000,152354,152268
improved,2,16,160000,152354,152757
standard,2,17,170000,161741,162260
improved,2,17,170000,161741,162726
standard,2,18,180000,171153,171389
improved,2,18,180000,171153,172857
standard,2,19,190000,180551,180517
improved,2,19,190000,180551,182261
standard,2,20,200000,189941,190180
improved,2,20,200000,189941,191070
standard,3,1,10000,9701,9715.52
improved,3,1,10000,9701,9711.9
standard,3,2,20000,19342,19383.5
improved,3,2,20000,19342,19321.6
standard,3,3,30000,28935,29169.3
improved,3,3,30000,28935,28869.5
standard,3,4,40000,38502,38424.2
improved,3,4,40000,38502,39019.3
standard,3,5,50000,48080,48718.3
improved,3,5,50000,48080,49268.9
standard,3,6,60000,57590,58135
improved,3,6,60000,57590,58641.2
standard,3,7,70000,67095,67555.7
improved,3,7,70000,67095,68234.9
standard,3,8,80000,76630,76900.4
improved,3,8,80000,76630,77836.8
standard,3,9,90000,86102,86338.4
improved,3,9,90000,86102,87287.1
standard,3,10,100000,95617,96249.9
improved,3,10,100000,95617,96236.2
standard,3,11,110000,105056,105840
improved,3,11,110000,105056,105508
standard,3,12,120000,114505,115394
improved,3,12,120000,114505,114221
standard,3,13,130000,123942,124546
improved,3,13,130000,123942,123536
standard,3,14,140000,133390,134204
improved,3,14,140000,133390,132599
standard,3,15,150000,142816,143844
improved,3,15,150000,142816,141873
standard,3,16,160000,152217,153248
improved,3,16,160000,152217,150526
standard,3,17,170000,161599,163441
improved,3,17,170000,161599,159618
standard,3,18,180000,170993,171955
improved,3,18,180000,170993,168505
standard,3,19,190000,180362,180994
improved,3,19,190000,180362,177777
standard,3,20,200000,189755,191358
improved,3,20,200000,189755,187306
standard,4,1,10000,9673,9637.9
improved,4,1,10000,9673,9697.43
standard,4,2,20000,19287,19211.4
improved,4,2,20000,19287,19289.1
standard,4,3,30000,28876,28805.5
improved,4,3,30000,28876,28666.9
standard,4,4,40000,38456,38341
improved,4,4,40000,38456,38216.8
standard,4,5,50000,48001,48355.7
improved,4,5,50000,48001,49148.9
standard,4,6,60000,57518,57719.6
improved,4,6,60000,57518,58573.1
standard,4,7,70000,67029,67143.1
improved,4,7,70000,67029,68425.2
standard,4,8,80000,76606,76919.4
improved,4,8,80000,76606,77961.9
standard,4,9,90000,86109,86887.3
improved,4,9,90000,86109,87893.9
standard,4,10,100000,95595,96085.4
improved,4,10,100000,95595,97456.7
standard,4,11,110000,105071,105673
improved,4,11,110000,105071,106948
standard,4,12,120000,114562,114879
improved,4,12,120000,114562,116439
standard,4,13,130000,124021,124130
improved,4,13,130000,124021,126034
standard,4,14,140000,133422,133981
improved,4,14,140000,133422,135506
standard,4,15,150000,142844,143418
improved,4,15,150000,142844,145753
standard,4,16,160000,152293,153007
improved,4,16,160000,152293,155073
standard,4,17,170000,161747,162207
improved,4,17,170000,161747,164896
standard,4,18,180000,171174,170792
improved,4,18,180000,171174,174220
standard,4,19,190000,180576,180048
improved,4,19,190000,180576,183891
standard,4,20,200000,189959,188674
improved,4,20,200000,189959,193414
standard,5,1,10000,9703,9650.51
improved,5,1,10000,9703,9684.79
standard,5,2,20000,19335,19266.4
improved,5,2,20000,19335,19324.8
standard,5,3,30000,28903,28788.1
improved,5,3,30000,28903,28793.9
standard,5,4,40000,38502,38539.4
improved,5,4,40000,38502,38466
standard,5,5,50000,48028,49028.3
improved,5,5,50000,48028,48620.4
standard,5,6,60000,57575,57775.5
improved,5,6,60000,57575,57720.4
standard,5,7,70000,67126,67690.6
improved,5,7,70000,67126,67373.3
standard,5,8,80000,76653,76762.5
improved,5,8,80000,76653,76347.9
standard,5,9,90000,86102,86150.1
improved,5,9,90000,86102,85980.7
standard,5,10,100000,95560,95582.9
improved,5,10,100000,95560,96011.8
standard,5,11,110000,105046,104506
improved,5,11,110000,105046,106050
standard,5,12,120000,114503,114456
improved,5,12,120000,114503,115703
standard,5,13,130000,123945,123268
improved,5,13,130000,123945,125447
standard,5,14,140000,133390,133771
improved,5,14,140000,133390,135622
standard,5,15,150000,142796,143228
improved,5,15,150000,142796,145096
standard,5,16,160000,152213,152437
improved,5,16,160000,152213,154629
standard,5,17,170000,161624,161238
