Size,Type,Sort,TimeMs,CharComparisons
100,Random,std_sort,0.01348,834
100,Random,std_stable_sort,0.019,674
100,Random,string_quick,0.01606,577
100,Random,merge_lcp,0.26384,516
100,Random,msd_radix,0.10192,171
100,Random,msd_radix_quick,0.00908,154
100,Reverse,std_sort,0.00726,954
100,Reverse,std_stable_sort,0.0152,501
100,Reverse,string_quick,0.02134,1263
100,Reverse,merge_lcp,0.3039,353
100,Reverse,msd_radix,0.07554,237
100,Reverse,msd_radix_quick,0.0371,1654
100,AlmostSorted,std_sort,0.00642,1150
100,AlmostSorted,std_stable_sort,0.00854,727
100,AlmostSorted,string_quick,0.0121,781
100,AlmostSorted,merge_lcp,0.2574,380
100,AlmostSorted,msd_radix,0.08888,231
100,AlmostSorted,msd_radix_quick,0.0164,757
200,Random,std_sort,0.0216,2015
200,Random,std_stable_sort,0.04336,1616
200,Random,string_quick,0.02306,1496
200,Random,merge_lcp,0.73904,1187
200,Random,msd_radix,0.19652,398
200,Random,msd_radix_quick,0.0145,393
200,Reverse,std_sort,0.01284,2087
200,Reverse,std_stable_sort,0.0124,1101
200,Reverse,string_quick,0.03598,2410
200,Reverse,merge_lcp,0.52352,720
200,Reverse,msd_radix,0.14598,475
200,Reverse,msd_radix_quick,0.05262,3173
200,AlmostSorted,std_sort,0.02796,3284
200,AlmostSorted,std_stable_sort,0.02036,1654
200,AlmostSorted,string_quick,0.02844,1785
200,AlmostSorted,merge_lcp,0.62366,758
200,AlmostSorted,msd_radix,0.14866,471
200,AlmostSorted,msd_radix_quick,0.0347,1561
300,Random,std_sort,0.04898,3460
300,Random,std_stable_sort,0.04582,2734
300,Random,string_quick,0.09946,2345
300,Random,merge_lcp,1.13932,1912
300,Random,msd_radix,0.20924,618
300,Random,msd_radix_quick,0.02464,730
300,Reverse,std_sort,0.02928,3676
300,Reverse,std_stable_sort,0.02804,1776
300,Reverse,string_quick,0.07568,4361
300,Reverse,merge_lcp,0.64228,1114
300,Reverse,msd_radix,0.13628,715
300,Reverse,msd_radix_quick,0.0523,5056
300,AlmostSorted,std_sort,0.02754,5147
300,AlmostSorted,std_stable_sort,0.01852,2885
300,AlmostSorted,string_quick,0.03594,2938
300,AlmostSorted,merge_lcp,0.90924,1225
300,AlmostSorted,msd_radix,0.16522,720
300,AlmostSorted,msd_radix_quick,0.03026,2355
400,Random,std_sort,0.03954,4915
400,Random,std_stable_sort,0.0634,3930
400,Random,string_quick,0.047,3239
400,Random,merge_lcp,0.90066,2729
400,Random,msd_radix,0.1846,835
400,Random,msd_radix_quick,0.02164,1106
400,Reverse,std_sort,0.01924,4620
400,Reverse,std_stable_sort,0.026,2453
400,Reverse,string_quick,0.06622,6677
400,Reverse,merge_lcp,1.16528,1442
400,Reverse,msd_radix,0.24566,952
400,Reverse,msd_radix_quick,0.06968,6796
400,AlmostSorted,std_sort,0.04362,7846
400,AlmostSorted,std_stable_sort,0.0351,3982
400,AlmostSorted,string_quick,0.05666,4350
400,AlmostSorted,merge_lcp,0.6673,1625
400,AlmostSorted,msd_radix,0.27072,953
400,AlmostSorted,msd_radix_quick,0.10932,3128
500,Random,std_sort,0.09904,6524
500,Random,std_stable_sort,0.07062,5447
500,Random,string_quick,0.05856,4354
500,Random,merge_lcp,1.14792,3530
