step,processed,mean_true,mean_est,std_est,mean_rel_err,std_rel_err
1,10000,9708.8,9715.17,59.184,0.000652903,0.00525378
2,20000,19333.3,19355.8,137.752,0.00116173,0.0064103
3,30000,28932.5,28906.2,218.992,-0.000914558,0.00715921
4,40000,38510.3,38513.1,262.838,6.97424e-05,0.00650304
5,50000,48073.1,48736.6,330.818,0.0138031,0.00687993
6,60000,57605.6,57950.2,378.589,0.00598625,0.00690505
7,70000,67126,67355.7,482.092,0.00342419,0.00741507
8,80000,76640.4,76771.8,583.493,0.00171608,0.00783162
9,90000,86135.6,86285.9,713.114,0.00174643,0.00830137
10,100000,95621.1,95863.1,764.072,0.00252896,0.00784315
11,110000,105084,105310,874.934,0.00214697,0.00829939
12,120000,114544,114765,984.808,0.00192729,0.00857277
13,130000,123994,124163,944.366,0.0013614,0.00760874
14,140000,133432,133740,1147.19,0.00230717,0.00863367
15,150000,142859,143254,1325.72,0.00276652,0.00930409
16,160000,152276,152572,1432.34,0.00194457,0.00941372
17,170000,161683,162012,1656.52,0.00203652,0.0102347
18,180000,171086,171337,1722.59,0.00146365,0.00999447
19,190000,180486,180618,1827.53,0.000732738,0.0100279
20,200000,189880,190046,1824.57,0.000875959,0.0095076
