step,processed,mean_true,mean_est,std_est,mean_rel_err,std_rel_err
1,10000,9708.8,9701.11,45.2433,-0.000791764,0.00438805
2,20000,19333.3,19332.6,124.386,-3.81138e-05,0.00586944
3,30000,28932.5,29030.5,268.243,0.00338289,0.00900027
4,40000,38510.3,38672.7,319.217,0.00421497,0.00815632
5,50000,48073.1,48683,335.167,0.0126871,0.00676263
6,60000,57605.6,57882.3,435.657,0.00480336,0.00746089
7,70000,67126,67353.9,486.796,0.00339516,0.00726019
8,80000,76640.4,76785.4,614.844,0.00189319,0.00816517
9,90000,86135.6,86259,687.586,0.00143554,0.00821827
10,100000,95621.1,95754.2,866.702,0.00139342,0.00930065
11,110000,105084,105147,871.389,0.000594227,0.00845865
12,120000,114544,114557,903.432,0.000111081,0.00802553
13,130000,123994,123948,810.903,-0.000375623,0.0066838
14,140000,133432,133538,809.964,0.000793284,0.00620624
15,150000,142859,142843,1033.96,-0.00011156,0.00735134
16,160000,152276,152139,1081.41,-0.000895255,0.00718395
17,170000,161683,161501,1287.82,-0.00112079,0.00802239
18,180000,171086,170841,1223.69,-0.00143487,0.00725445
19,190000,180486,180277,1368.81,-0.0011579,0.00768751
20,200000,189880,189761,1756.09,-0.000625125,0.00934889
